,คำนำหน้าชื่อ,ชื่อ,สกุล,พรรค,"เริ่มทำงานสภาสมัยนี้ในฐานะสมาชิกพรรค
 (YYYY-MM-DD)"
id,title,name,lastname,party,established_date
465,นาย,สุรศักดิ์,อนรรฆพันธ์,พลังประชารัฐ,2562-03-24
466,นาย,สุรสิทธิ์,นิธิวุฒิวรรักษ์,พลังประชารัฐ,2562-03-24
467,นาย,สุรสิทธิ์,วงศ์วิทยานันท์,พลังประชารัฐ,2562-03-24
468,พลตำรวจตรี,สุรินทร์,ปาลาเร่,ประชาธิปัตย์,2562-03-24
469,ดร.,อธิรัฐ,รัตนเศรษฐ,พลังประชารัฐ,2562-03-24
470,นาย,เสมอกัน,เที่ยงธรรม,ชาติไทยพัฒนา,2562-03-24
471,พลตำรวจเอก,เสรีพิศุทธ์,เตมียเวส,เสรีรวมไทย,2562-03-24
472,นาย,โสภณ,ซารัมย์,ภูมิใจไทย,2562-03-24
473,นาย,องค์การ,ชัยบุตร,ก้าวไกล,2562-03-24
474,นาย,องอาจ,คล้ามไพบูลย์,ประชาธิปัตย์,2562-03-24
475,นาย,องอาจ,วงษ์ประยูร,เพื่อไทย,2562-03-24
476,นาย,อดิพงษ์,ฐิติพิทยา,ภูมิใจไทย,2562-03-24
477,นาย,ศักดิ์สยาม,ชิดชอบ,ภูมิใจไทย,2562-03-24
478,นาย,อนันต์,ผลอำนวย,พลังประชารัฐ,2562-03-24
479,นาย,อนันต์,ศรีพันธุ์,เพื่อไทย,2562-03-24
480,นาย,อนาวิล,รัตนสถาพร,ภูมิใจไทย,2562-03-24
481,นาย,อนุชา,น้อยวงศ์,พลังประชารัฐ,2562-03-24
482,นาย,อนุชา,นาคาศัย,พลังประชารัฐ,2562-03-24
483,นาวาอากาศเอก,อนุดิษฐ์,นาครทรรพ,เพื่อไทย,2562-03-24
484,นาย,อนุทิน,ชาญวีรกูล,ภูมิใจไทย,2562-03-24
485,นาย,อนุมัติ,ซูสารอ,ประชาชาติ,2562-03-24
486,นาย,อนุรักษ์,จุรีมาศ,ชาติไทยพัฒนา,2562-03-24
487,นาย,อนุรักษ์,ตั้งปณิธานนท์,เพื่อไทย,2562-03-24
488,นาง,อนุรักษ์,บุญศล,เพื่อไทย,2562-03-24
489,นาย,อนุสรณ์,ปั้นทอง,เพื่อไทย,2562-03-24
490,นางสาว,อนุสรี,ทับสุวรรณ,รวมพลังประชาชาติไทย,2562-03-24
491,ดร.,อภิชัย,เตชะอุบล,ประชาธิปัตย์,2562-03-24
492,นาย,อภิชา,เลิศพชรกมล,ภูมิใจไทย,2562-03-24
493,ดร.,อภิชาติ,ตีรสวัสดิชัย,เพื่อไทย,2562-03-24
494,นาย,อภิชาติ,ศิริสุนทร,ก้าวไกล,2562-03-24
495,นาย,สุทัศน์,เงินหมื่น,ประชาธิปัตย์,2562-03-24
496,นาง,อมรัตน์,โชคปมิตต์กุล,ก้าวไกล,2562-03-24
497,นาย,อรรถกร,ศิริลัทธยากร,พลังประชารัฐ,2562-03-24
498,ร้อยตำรวจเอก,อรุณ,สวัสดี,พลังประชารัฐ,2562-03-24
499,นาย,อัครเดช,วงษ์พิทักษ์โรจน์,ประชาธิปัตย์,2562-03-24
500,นาย,อัครวัฒน์,อัศวเหม,พลังประชารัฐ,2562-03-24
501,นาย,อัฏฐพล,โพธิพิพิธ,พลังประชารัฐ,2562-03-24
502,นาย,อันวาร์,สาและ,ประชาธิปัตย์,2562-03-24
503,นาย,อับดุลบาซิม,อาบู,ภูมิใจไทย,2562-03-24
504,นาย,อับดุลอายี,สาแม็ง,ประชาชาติ,2562-03-24
